# rank, thread, Name, start Time, end Time, delta, bytes, Depth
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007408547997e+09, 1.68693007408548403e+09, 4.05311584472656250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007408547807e+09, 1.68693007408548594e+09, 7.86781311035156250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007427943707e+09, 1.68693007427943897e+09, 1.90734863281250000e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007427943492e+09, 1.68693007427943993e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007427943397e+09, 1.68693007427944112e+09, 7.15255737304687500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007446366692e+09, 1.68693007446366811e+09, 1.19209289550781250e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007446366501e+09, 1.68693007446367002e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007446366405e+09, 1.68693007446367192e+09, 7.86781311035156250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007464817810e+09, 1.68693007464818001e+09, 1.90734863281250000e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007464817595e+09, 1.68693007464818096e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007464817309e+09, 1.68693007464818311e+09, 1.00135803222656250e-05, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007483306003e+09, 1.68693007483306193e+09, 1.90734863281250000e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007483305907e+09, 1.68693007483306289e+09, 3.81469726562500000e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007483305693e+09, 1.68693007483306503e+09, 8.10623168945312500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007501829696e+09, 1.68693007501829791e+09, 9.53674316406250000e-07, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007501829505e+09, 1.68693007501830006e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007501829410e+09, 1.68693007501830196e+09, 7.86781311035156250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007520372510e+09, 1.68693007520372605e+09, 9.53674316406250000e-07, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007520372295e+09, 1.68693007520372796e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007520372105e+09, 1.68693007520373011e+09, 9.05990600585937500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007537153101e+09, 1.68693007537153196e+09, 9.53674316406250000e-07, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007537152910e+09, 1.68693007537153411e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007537152696e+09, 1.68693007537153506e+09, 8.10623168945312500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007553954506e+09, 1.68693007553954697e+09, 1.90734863281250000e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007553954411e+09, 1.68693007553954792e+09, 3.81469726562500000e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007553954196e+09, 1.68693007553955007e+09, 8.10623168945312500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007570803595e+09, 1.68693007570803809e+09, 2.14576721191406250e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007570803499e+09, 1.68693007570803905e+09, 4.05311584472656250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007570803308e+09, 1.68693007570804095e+09, 7.86781311035156250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007587496805e+09, 1.68693007587496901e+09, 9.53674316406250000e-07, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007587496591e+09, 1.68693007587497091e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007587496400e+09, 1.68693007587497211e+09, 8.10623168945312500e-06, -1, 0
